#This is the fibers geometry file for AESOP
#This file was first written at: Tue Apr  5 16:30:01 CEST 2016
#Original filename: /home/tdwelly/4most/OpSim/inputs_to_system_model/AESOP/info_2016-04-05/aesop-cfg.json
#This file contains one entry per Fiber/Positioner, and gives the coordinates and details of each fiber
#Other info:
#Pitch is 9.542mm between fibres
#Fibe size is 0.085, so 1.43 asec
#Plate scale is 0.0594 mm/asec
#FoV is 535mm = 2.502 degrees diameter
#Rad curve 4,653 mm
#Patrol requirement is 11.5mm, but in practice they expect 12.3mm +/- 0.5 (so 11.8-12.8mm)
#Description of columns:
#Index  Name        Format    Description
#-----  ----------- --------- --------------------------------------------------------------------------------
#1      id          integer   Fiber identification number
#2      x0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#3      y0_mm       float     offset of the fiber base position from the FoV centre in the x-direction (mm)
#4      res         integer   code giving the resolution code of the fiber (1=low res, 2=high res)
#5      sector      integer   ID of the sky fiber allocation sector that this fiber lies within
#6      EdgeFlag    integer   Flag set if the fiber is at edge of field (0=middle;1=border;2=edge;3=corner)
#7      Spectro     string    HR, LR-A, LR-B
#8      Slitlet     integer   Slitlet within spectrograph
#9      Slitpos     integer   Slitpos within slitlet
#-----  ----------- --------- --------------------------------------------------------------------------------
id            x0_mm     y0_mm       res      sector  EdgeFlag  Spectro  Slitlet  Slitpos
85          -212.2988    73.9453    1       -1       -1    LR-A         3        3
86          -212.2912    83.4856    1       -1       -1    LR-B         3        3
87          -212.2827    93.0256    2       -1       -1      HR         3        3
88          -212.2733   102.5652    1       -1       -1    LR-A         3        2
89          -212.2630   112.1043    1       -1       -1    LR-B         3        2
90          -212.2517   121.6430    2       -1       -1      HR         3        2
91          -212.2395   131.1811    1       -1       -1    LR-A         3        1
92          -212.2264   140.7186    1       -1       -1    LR-B         3        1
93          -212.2124   150.2556    2       -1       -1      HR         3        1
94          -203.8960  -150.2556    2       -1       -1      HR         4       11
95          -203.9094  -140.7186    1       -1       -1    LR-A         4       11
96          -203.9220  -131.1811    1       -1       -1    LR-B         4       11
97          -203.9337  -121.6430    2       -1       -1      HR         4       10
98          -203.9445  -112.1043    1       -1       -1    LR-A         4       10
99          -203.9545  -102.5652    1       -1       -1    LR-B         4       10
100         -203.9635   -93.0256    2       -1       -1      HR         4        9
101         -203.9717   -83.4856    1       -1       -1    LR-A         4        9
102         -203.9790   -73.9453    1       -1       -1    LR-B         4        9
103         -203.9854   -64.4047    2       -1       -1      HR         4        8
104         -203.9909   -54.8637    1       -1       -1    LR-A         4        8
105         -203.9955   -45.3225    1       -1       -1    LR-B         4        8
106         -203.9993   -35.7812    2       -1       -1      HR         4        7
107         -204.0021   -26.2397    1       -1       -1    LR-A         4        7
108         -204.0041   -16.6980    1       -1       -1    LR-B         4        7
109         -204.0052    -7.1563    2       -1       -1      HR         4        6
110         -204.0054     2.3854    1       -1       -1    LR-A         4        6
111         -204.0048    11.9272    1       -1       -1    LR-B         4        6
112         -204.0032    21.4688    2       -1       -1      HR         4        5
113         -204.0008    31.0104    1       -1       -1    LR-A         4        5
114         -203.9975    40.5519    1       -1       -1    LR-B         4        5
115         -203.9933    50.0932    2       -1       -1      HR         4        4
116         -203.9882    59.6342    1       -1       -1    LR-A         4        4
117         -203.9823    69.1750    1       -1       -1    LR-B         4        4
118         -203.9754    78.7155    2       -1       -1      HR         4        3
119         -203.9677    88.2557    1       -1       -1    LR-A         4        3
120         -203.9591    97.7955    1       -1       -1    LR-B         4        3
121         -203.9496   107.3348    2       -1       -1      HR         4        2
122         -203.9392   116.8737    1       -1       -1    LR-A         4        2
123         -203.9280   126.4121    1       -1       -1    LR-B         4        2
124         -203.9158   135.9499    2       -1       -1      HR         4        1
125         -203.9028   145.4872    1       -1       -1    LR-A         4        1
126         -203.8889   155.0238    1       -1       -1    LR-B         4        1
127         -195.5721  -155.0238    1       -1       -1    LR-A         5       12
128         -195.5854  -145.4872    1       -1       -1    LR-B         5       11
129         -195.5979  -135.9499    2       -1       -1      HR         5       11
130         -195.6095  -126.4121    1       -1       -1    LR-A         5       11
131         -195.6203  -116.8737    1       -1       -1    LR-B         5       10
132         -195.6303  -107.3348    2       -1       -1      HR         5       10
133         -195.6394   -97.7955    1       -1       -1    LR-A         5       10
134         -195.6476   -88.2557    1       -1       -1    LR-B         5        9
135         -195.6550   -78.7155    2       -1       -1      HR         5        9
136         -195.6616   -69.1750    1       -1       -1    LR-A         5        9
137         -195.6673   -59.6342    1       -1       -1    LR-B         5        8
138         -195.6722   -50.0932    2       -1       -1      HR         5        8
139         -195.6762   -40.5519    1       -1       -1    LR-A         5        8
